customer_id,customer_name,mobile_number,business_type,business_status,status,salesperson_name,salesperson_number,cluster,registered_date,latitude,longitude
0006088e230d4562a47eae1b90d95679,Laxmi narasimha medical,8074085338,Restaurant,Active-User,Active,,,,2024-06-25,17.54603195,78.21129608
000771fdc86342b09d9a2bf71f86a9d4,RAMDEV KIRANA & GENERAL STORE,7760472583,Kirana,Active-User,Active,AjaykumarM,9154297173,Kondapur,2026-07-02,17.480723,78.364202
00083b4532b44b1596801d5f5c8b1e10,VINAY SREE KIRANA AND GENERAL STORE,9381622094,Kirana,Active-User,Active,,,,2025-11-28,17.337023,78.401852
000ad29e1d144a3f9659f0f19bc1f4fc,A one bakery,9110581697,Kirana,,Active,,,,2024-06-25,17.65619278,77.7363739
000d494999ac4f1ea9b8c5987cd98f53,The scholars cafe tiffins adda,9542404988,TiffinCenters,,InActive,Gandhara Kiran,9154152692,Miyapur,2024-11-27,17.5235676,78.3425097
0011e512d3a34de08f27c3a30dffbab6,Kirana stores,7416231025,Kirana,,InActive,Sravani,9154299224,Mirpet,2025-04-04,17.3737415,78.487257
00162a00d9f24e5fa8ec4e7516e55c7b,RAMESHKIRANA,9963537911,Kirana,,Active,,,,2024-06-25,17.68398857,77.62068176
001f0e93744842edb2cf474fed88cd50,Svm womens pg,8500964422,PgHostel,Lost,InActive,K Srikanth,7337320371,Madhapur,2025-08-25,17.4414561,78.3650482
001f701cbb034b54a3e0a50c07283c62,Mukesh traders,6303657808,Wholesale,,InActive,K Venkatesh,9154293951,Yousufguda,2025-02-10,17.4539679,78.4327515
00276537e40142f796d73b20c59d03a0,Sri Lakshmi kirana,8074606557,Restaurant,Business-Shutdown,Active,Raja Ramesh Kollu,9100467148,Alwal,2024-06-25,17.51149559,78.50247955
0047cb475fb040bd8b7eb7801ae2af35,Hind Mess,9890808753,PgHostel,,InActive,,,,2024-09-21,28.6358083,77.185155
004Ft2OrAoQtIbQ5gAJxtqHuwwX2,Balaji home needs,9247500816,Kirana,Business-Shutdown,InActive,Gattu Prasad,9154289339,Bowenpally,2024-06-25,17.43785286,78.48214722
004c1d1a882f48a48e94490ccb9c063e,ANKITA KIRANA,7995873851,Kirana,Active-User,Active,Vignesh Pulimamidi,9154293952,Habsiguda,2025-03-05,17.438903,78.571828
005476c580da4b87a96c26a18221559e,Vedantha,9030373297,Kirana,,InActive,Saikiran Chalamani,7337320372,Medchal,2025-01-19,17.5736279,78.5761331
00576b272ea34537a8f8da565a773fbf,Mahadev Kirana General store,8073205226,Kirana,,InActive,B Dayakar,9154297170,Rampally,2024-06-25,17.46999168,78.65109253
006e2c8a6297421ebb8c29c167e5be4a,Mahadev kirana and general store,7984563437,Kirana,Active-User,Active,,,,2024-06-25,17.73891068,78.27960968
00719dc64e01485cb0453d7798fd8524,Mahadev kirana store,9844565204,Kirana,KYC-Pending,Active,Vijaykumar Dandugula,7337320373,Gachibowli,2026-05-27,17.4286868,78.2944107
